股票代码,股票简称,最新价,个股热度[20250707],个股热度排名[20250707],market_code,code,最新涨跌幅
600744.SH,华银电力,6.09,411353.5,1,17,600744,
600571.SH,信雅达,18.54,276263.0,2,17,600571,
002987.SZ,京北方,23.30,259324.0,3,33,002987,
002721.SZ,金一文化,4.02,190945.0,4,33,002721,
000601.SZ,韶能股份,5.56,188733.5,5,33,000601,
002104.SZ,恒宝股份,19.83,145210.5,6,33,002104,
603716.SH,塞力医疗,21.08,138805.5,7,17,603716,
002579.SZ,中京电子,15.53,133728.0,8,33,002579,
002562.SZ,兄弟科技,5.42,123630.0,9,33,002562,
002366.SZ,融发核电,8.94,122063.5,10,33,002366,
000037.SZ,深南电A,9.60,112240.5,11,33,000037,
603601.SH,再升科技,5.06,110298.5,12,17,603601,
001298.SZ,好上好,34.81,107782.0,13,33,001298,
002015.SZ,协鑫能科,13.80,104186.0,14,33,002015,
601003.SH,柳钢股份,5.16,102801.5,15,17,601003,
002636.SZ,金安国纪,11.34,101533.0,16,33,002636,
605162.SH,新中港,8.54,96856.5,17,17,605162,
002908.SZ,德生科技,10.76,95697.0,18,33,002908,
002263.SZ,大东南,4.42,95673.5,19,33,002263,
300468.SZ,四方精创,47.21,94650.5,20,33,300468,
601718.SH,际华集团,4.11,93594.0,21,17,601718,
000530.SZ,冰山冷热,7.02,87510.0,22,33,000530,
600644.SH,乐山电力,15.32,84408.5,23,17,600644,
601606.SH,长城军工,28.28,82976.5,24,17,601606,
002623.SZ,亚玛顿,20.77,81033.5,25,33,002623,
000670.SZ,盈方微,8.33,80327.5,26,33,000670,
600475.SH,华光环能,12.57,76055.0,27,17,600475,
600250.SH,南京商旅,12.90,75331.0,28,17,600250,
002549.SZ,凯美特气,11.93,74041.5,29,33,002549,
601208.SH,东材科技,10.66,73261.0,30,17,601208,
002173.SZ,创新医疗,15.93,73090.5,31,33,002173,
300348.SZ,长亮科技,18.13,72338.0,32,33,300348,
603316.SH,诚邦股份,11.62,71313.5,33,17,603316,
000627.SZ,天茂集团,,67347.0,34,33,000627,
601218.SH,吉鑫科技,4.92,66907.5,35,17,601218,
002093.SZ,国脉科技,13.43,65885.5,36,33,002093,
600537.SH,亿晶光电,3.64,65044.5,37,17,600537,
300436.SZ,广生堂,51.34,64518.0,38,33,300436,
002342.SZ,巨力索具,6.79,64469.0,39,33,002342,
002658.SZ,雪迪龙,9.38,63550.0,40,33,002658,
600192.SH,长城电工,10.45,63388.0,41,17,600192,
002130.SZ,沃尔核材,24.31,63147.0,42,33,002130,
601162.SH,天风证券,4.80,62431.5,43,17,601162,
600505.SH,西昌电力,15.73,62060.0,44,17,600505,
600423.SH,柳化股份,3.71,61937.0,45,17,600423,
002235.SZ,安妮股份,9.43,60495.0,46,33,002235,
603676.SH,卫信康,12.68,60325.0,47,17,603676,
301282.SZ,金禄电子,25.36,59793.0,48,33,301282,
600150.SH,中国船舶,32.81,58186.0,49,17,600150,
002020.SZ,京新药业,14.93,57501.0,50,33,002020,
600645.SH,中源协和,25.87,56250.0,51,17,600645,
002537.SZ,海联金汇,10.15,55293.0,52,33,002537,
000559.SZ,万向钱潮,8.14,55271.0,53,33,000559,
000710.SZ,贝瑞基因,14.65,54435.0,54,33,000710,
002581.SZ,未名医药,11.02,52595.5,55,33,002581,
300872.SZ,天阳科技,22.81,52055.5,56,33,300872,
300773.SZ,拉卡拉,29.77,52034.0,57,33,300773,
603936.SH,博敏电子,10.01,51734.5,58,17,603936,
002365.SZ,永安药业,29.86,50212.0,59,33,002365,
600110.SH,诺德股份,5.94,50030.0,60,17,600110,
300651.SZ,金陵体育,27.31,49830.5,61,33,300651,
300199.SZ,翰宇药业,18.49,49610.5,62,33,300199,
300964.SZ,本川智能,42.27,46717.0,63,33,300964,
600698.SH,湖南天雁,10.01,46219.0,64,17,600698,
300921.SZ,南凌科技,26.12,44936.5,65,33,300921,
002657.SZ,中科金财,27.44,44412.0,66,33,002657,
600101.SH,明星电力,11.01,44353.0,67,17,600101,
300476.SZ,胜宏科技,146.31,43998.5,68,33,300476,
600267.SH,海正药业,10.65,43503.5,69,17,600267,
002177.SZ,御银股份,7.11,43080.5,70,33,002177,
300674.SZ,宇信科技,28.58,42936.0,71,33,300674,
301024.SZ,霍普股份,58.10,42607.5,72,33,301024,
603123.SH,翠微股份,14.32,42507.5,73,17,603123,
002558.SZ,巨人网络,25.14,42490.5,74,33,002558,
603538.SH,美诺华,25.45,42448.5,75,17,603538,
605500.SH,森林包装,9.06,42444.0,76,17,605500,
603300.SH,海南华铁,10.29,42065.5,77,17,603300,
002201.SZ,九鼎新材,7.52,41928.0,78,33,002201,
001210.SZ,金房能源,15.18,41645.0,79,33,001210,
600095.SH,湘财股份,10.40,41364.0,80,17,600095,
603228.SH,景旺电子,46.58,41118.5,81,17,603228,
301389.SZ,隆扬电子,31.92,41106.5,82,33,301389,
300430.SZ,诚益通,20.53,41041.5,83,33,300430,
300649.SZ,杭州园林,20.88,41033.0,84,33,300649,
002463.SZ,沪电股份,47.30,40168.5,85,33,002463,
000617.SZ,中油资本,7.56,40042.0,86,33,000617,
003029.SZ,吉大正元,28.90,39397.0,87,33,003029,
600589.SH,大位科技,8.10,39264.0,88,17,600589,
001359.SZ,平安电工,36.81,38956.0,89,33,001359,
002555.SZ,三七互娱,18.50,38561.0,90,33,002555,
002467.SZ,二六三,6.47,37777.5,91,33,002467,
601138.SH,工业富联,23.81,36972.0,92,17,601138,
600415.SH,小商品城,19.46,36383.5,93,17,600415,
001236.SZ,弘业期货,13.16,36164.5,94,33,001236,
000737.SZ,北方铜业,11.45,36049.0,95,33,000737,
002734.SZ,利民股份,19.59,35942.0,96,33,002734,
603256.SH,宏和科技,18.41,35939.0,97,17,603256,
600231.SH,凌钢股份,2.06,35869.0,98,17,600231,
601519.SH,大智慧,11.10,35760.5,99,17,601519,
003040.SZ,楚天龙,23.31,35749.0,100,33,003040,
000811.SZ,冰轮环境,10.73,35120.0,101,33,000811,
002229.SZ,鸿博股份,17.28,32864.5,102,33,002229,
600601.SH,方正科技,5.60,32810.0,103,17,600601,
600570.SH,恒生电子,32.75,32413.0,104,17,600570,
300591.SZ,万里马,11.59,32269.5,105,33,300591,
600191.SH,华资实业,8.64,32167.5,106,17,600191,
002913.SZ,奥士康,34.79,32154.5,107,33,002913,
002165.SZ,红宝丽,9.86,32134.5,108,33,002165,
600396.SH,华电辽能,3.50,32061.5,109,17,600396,
300180.SZ,华峰超纤,8.91,31602.5,110,33,300180,
603881.SH,数据港,25.64,31601.0,111,17,603881,
