股票代码,股票简称,最新价,最新涨跌幅,涨停[20250523],首次涨停时间[20250523],最终涨停时间[20250523],涨停明细数据[20250523],连续涨停天数[20250523],涨停原因类别[20250523],涨停封单量[20250523],涨停封单额[20250523],market_code,code
002898.SZ,*ST赛隆,10.2,5.046343975,涨停, 09:25:00, 10:10:00,"[{""code"":""002898.SZ"",""time"":1747963500000,""openTime"":1747963827000,""duration"":42000,""updatedTime"":1747963827000,""firstVol"":6177300.0,""highestVol"":6177300.0,""firstVolDivLTGB"":0.06100280240789091,""firstVolDivVol"":60.800197,""highestVolDivLTGB"":0.06100280240789091,""highestVolDivVol"":60.800197},{""code"":""002898.SZ"",""time"":1747966200000,""openTime"":null,""duration"":10383000,""updatedTime"":1747981965000,""firstVol"":1714150.0,""highestVol"":2560360.0,""firstVolDivLTGB"":0.016927776495796902,""firstVolDivVol"":0.081541,""highestVolDivLTGB"":0.02528436941269933,""highestVolDivVol"":0.113577}]",5,控制权变更+仿制药研发+集采中标预期,1539920,15707184,33,002898
000510.SZ,新金路,5.37,10.040983607,涨停, 09:33:18, 09:33:18,"[{""code"":""000510.SZ"",""time"":1747963998000,""openTime"":null,""duration"":12627000,""updatedTime"":1747981968000,""firstVol"":1.525009E8,""highestVol"":1.525009E8,""firstVolDivLTGB"":0.2513758763102954,""firstVolDivVol"":3.454796,""highestVolDivLTGB"":0.2513758763102954,""highestVolDivVol"":3.454796}]",1,石英砂+氯碱化工+小金属,56974847,306067161.39,33,000510
600805.SH,悦达投资,5.41,9.959349593,涨停, 09:25:03, 14:22:48,"[{""code"":""600805.SH"",""time"":1747963503000,""openTime"":1747978074000,""duration"":8907000,""updatedTime"":1747978074000,""firstVol"":3.85341E7,""highestVol"":3.890826E7,""firstVolDivLTGB"":0.0453195534649429,""firstVolDivVol"":9.944027,""highestVolDivLTGB"":0.04575959914200407,""highestVolDivVol"":8.072856},{""code"":""600805.SH"",""time"":1747978104000,""openTime"":1747981302000,""duration"":3195000,""updatedTime"":1747981302000,""firstVol"":3.9111105E7,""highestVol"":4.3299505E7,""firstVolDivLTGB"":0.045998163032755286,""firstVolDivVol"":1.257293,""highestVolDivLTGB"":0.050924096627482214,""highestVolDivVol"":1.386947},{""code"":""600805.SH"",""time"":1747981314000,""openTime"":1747981356000,""duration"":39000,""updatedTime"":1747981356000,""firstVol"":177739.0,""highestVol"":2.0418139E7,""firstVolDivLTGB"":2.0903698576859163E-4,""firstVolDivVol"":0.004384,""highestVolDivLTGB"":0.024013560510434545,""highestVolDivVol"":0.503419},{""code"":""600805.SH"",""time"":1747981368000,""openTime"":null,""duration"":600000,""updatedTime"":1747981968000,""firstVol"":8707400.0,""highestVol"":1.35782E7,""firstVolDivLTGB"":0.010240682404432537,""firstVolDivVol"":0.206543,""highestVolDivLTGB"":0.015969179528201975,""highestVolDivVol"":0.322026}]",1,新能源+清洁机器人+国企,7138556,38582799.96,17,600805
002846.SZ,英联股份,11.31,10.019455253,涨停, 09:30:00, 09:30:00,"[{""code"":""002846.SZ"",""time"":1747963800000,""openTime"":null,""duration"":12768000,""updatedTime"":1747981965000,""firstVol"":1.902204E7,""highestVol"":3.0529334E7,""firstVolDivLTGB"":0.0740105085830221,""firstVolDivVol"":3.277903,""highestVolDivLTGB"":0.11878281908990564,""highestVolDivVol"":2.783157}]",1,固态电池+复合集流体+金属包装产品,7504136,84876302.16,33,002846
002365.SZ,永安药业,20.36,9.994597515,涨停, 10:55:45, 14:30:39,"[{""code"":""002365.SZ"",""time"":1747968945000,""openTime"":1747980204000,""duration"":5910000,""updatedTime"":1747980204000,""firstVol"":1913222.0,""highestVol"":8448100.0,""firstVolDivLTGB"":0.007791257587078448,""firstVolDivVol"":0.029204,""highestVolDivLTGB"":0.034403390312988995,""highestVolDivVol"":0.126716},{""code"":""002365.SZ"",""time"":1747980690000,""openTime"":1747981032000,""duration"":339000,""updatedTime"":1747981032000,""firstVol"":3420900.0,""highestVol"":4960550.0,""firstVolDivLTGB"":0.013931009093370588,""firstVolDivVol"":0.044318,""highestVolDivLTGB"":0.020200960904475276,""highestVolDivVol"":0.064041},{""code"":""002365.SZ"",""time"":1747981083000,""openTime"":1747981833000,""duration"":747000,""updatedTime"":1747981833000,""firstVol"":1746050.0,""highestVol"":3260750.0,""firstVolDivLTGB"":0.007110479238644718,""firstVolDivVol"":0.021276,""highestVolDivLTGB"":0.013278826595693573,""highestVolDivVol"":0.039675},{""code"":""002365.SZ"",""time"":1747981839000,""openTime"":null,""duration"":129000,""updatedTime"":1747981968000,""firstVol"":1599033.0,""highestVol"":3547633.0,""firstVolDivLTGB"":0.006511778556403184,""firstVolDivVol"":0.018862,""highestVolDivLTGB"":0.014447106779777712,""highestVolDivVol"":0.041782}]",3,牛磺酸+功能饮料+宠物经济+电商,3376233,68723815.88,33,002365
603007.SH,*ST花王,5.43,5.02901354,涨停, 10:25:21, 10:25:21,"[{""code"":""603007.SH"",""time"":1747967121000,""openTime"":null,""duration"":9444000,""updatedTime"":1747981965000,""firstVol"":3069471.0,""highestVol"":9483371.0,""firstVolDivLTGB"":0.0061410203915053824,""firstVolDivVol"":0.318821,""highestVolDivLTGB"":0.018973163353297944,""highestVolDivVol"":0.951757}]",1,ST板块+生态景观+拟注入尼威动力+一季报净利增长,2992300,16248189,22,603007
301501.SZ,恒鑫生活,94.32,20,涨停, 11:24:57, 11:24:57,"[{""code"":""301501.SZ"",""time"":1747970697000,""openTime"":null,""duration"":5889000,""updatedTime"":1747981965000,""firstVol"":5570765.0,""highestVol"":5819165.0,""firstVolDivLTGB"":0.23034555937794896,""firstVolDivVol"":0.799526,""highestVolDivLTGB"":0.24061665086170075,""highestVolDivVol"":0.833717}]",1,次新+可降解塑料+泰国工厂投产,1761625,166156470,33,301501
301075.SZ,多瑞医药,28.92,20,涨停, 09:38:51, 09:38:51,"[{""code"":""301075.SZ"",""time"":1747964331000,""openTime"":null,""duration"":12261000,""updatedTime"":1747981956000,""firstVol"":2.11731E7,""highestVol"":2.12305E7,""firstVolDivLTGB"":0.26466375,""firstVolDivVol"":8.803443,""highestVolDivLTGB"":0.26538125,""highestVolDivVol"":8.780579}]",1,化学药+多肽原料药+流感用药,3383000,97836360,33,301075
000820.SZ,*ST节能,2.92,5.035971223,涨停, 09:34:39, 09:46:51,"[{""code"":""000820.SZ"",""time"":1747964079000,""openTime"":1747964547000,""duration"":465000,""updatedTime"":1747964547000,""firstVol"":3267700.0,""highestVol"":4821700.0,""firstVolDivLTGB"":0.01100358407985009,""firstVolDivVol"":0.39795,""highestVolDivLTGB"":0.01623649091342938,""highestVolDivVol"":0.577918},{""code"":""000820.SZ"",""time"":1747964616000,""openTime"":1747964805000,""duration"":186000,""updatedTime"":1747964805000,""firstVol"":2787899.0,""highestVol"":3844399.0,""firstVolDivLTGB"":0.009387912309156284,""firstVolDivVol"":0.206193,""highestVolDivLTGB"":0.012945548132628947,""highestVolDivVol"":0.28298},{""code"":""000820.SZ"",""time"":1747964811000,""openTime"":null,""duration"":11793000,""updatedTime"":1747981968000,""firstVol"":3164099.0,""highestVol"":4486252.0,""firstVolDivLTGB"":0.010654720256899224,""firstVolDivVol"":0.209307,""highestVolDivLTGB"":0.015106910391221846,""highestVolDivVol"":0.240057}]",5,ST板块+董事长变更+节能环保+此前签大单,2838692,8289856.64,33,000820
603086.SH,先达股份,9.64,10.0456621,涨停, 10:26:49, 10:47:25,"[{""code"":""603086.SH"",""time"":1747967209000,""openTime"":1747967230000,""duration"":18000,""updatedTime"":1747967230000,""firstVol"":2.0108812E7,""highestVol"":2.0108812E7,""firstVolDivLTGB"":0.0462470197226766,""firstVolDivVol"":0.417081,""highestVolDivLTGB"":0.0462470197226766,""highestVolDivVol"":0.417081},{""code"":""603086.SH"",""time"":1747968445000,""openTime"":null,""duration"":8136000,""updatedTime"":1747981966000,""firstVol"":2.2583152E7,""highestVol"":2.3674952E7,""firstVolDivLTGB"":0.05193760207933733,""firstVolDivVol"":0.362643,""highestVolDivLTGB"":0.0544485657371217,""highestVolDivVol"":0.37879}]",1,烯草酮+农药+大豆,9874086,95196793.04,17,603086
