股票代码,股票简称,退市@退市日期,market_code,code
000584.SZ,工智退,20250711,35,000584
600387.SH,退市海越,20250711,19,600387
002336.SZ,人乐退,20250704,35,002336
900957.SH,*ST凌云B,20250704,105,900957
600804.SH,退市鹏博,20250703,19,600804
603003.SH,退市龙宇,20250703,19,603003
002750.SZ,龙津退,20250627,35,002750
300108.SZ,*ST吉药,20250529,35,300108
600705.SH,中航产融,20250527,19,600705
601028.SH,玉龙股份,20250527,19,601028
300630.SZ,普利退,20250522,35,300630
000040.SZ,*ST旭蓝,20250430,35,000040
300117.SZ,*ST嘉寓,20250430,35,300117
600070.SH,*ST富润,20250430,19,600070
600811.SH,*ST东方,20250430,19,600811
603963.SH,*ST大药,20250321,19,603963
600225.SH,退市卓朗,20250306,19,600225
600083.SH,*ST博信,20250305,19,600083
600837.SH,海通证券,20250304,19,600837
600898.SH,*ST美讯,20250210,19,600898
600213.SH,*ST亚星,20241017,19,600213
000413.SZ,ST旭电,20241011,35,000413
200413.SZ,ST东旭B,20241011,105,200413
002308.SZ,*ST威创,20240927,35,002308
300495.SZ,*ST美尚,20240920,35,300495
000861.SZ,海印股份,20240918,35,000861
002502.SZ,ST鼎龙,20240905,35,002502
000023.SZ,*ST深天,20240902,35,000023
002505.SZ,鹏都农牧,20240830,35,002505
600297.SH,广汇汽车,20240828,19,600297
000976.SZ,*ST华铁,20240827,35,000976
002665.SZ,ST航高,20240826,35,002665
002341.SZ,ST新纶,20240823,35,002341
200054.SZ,建车B,20240822,105,200054
002288.SZ,*ST超华,20240819,35,002288
300262.SZ,*ST巴安,20240819,35,300262
002280.SZ,ST联络,20240816,35,002280
002325.SZ,*ST洪涛,20240815,35,002325
002435.SZ,ST长康,20240815,35,002435
600112.SH,*ST天成,20240815,19,600112
000836.SZ,ST富通,20240812,35,000836
000982.SZ,中银绒业,20240812,35,000982
002610.SZ,ST爱康,20240812,35,002610
600565.SH,ST迪马,20240807,19,600565
002621.SZ,*ST美吉,20240805,35,002621
300799.SZ,左江退,20240729,35,300799
300116.SZ,*ST保力,20240725,35,300116
000971.SZ,*ST高升,20240724,35,000971
300742.SZ,越博退,20240722,35,300742
300282.SZ,三盛退,20240718,35,300282
600277.SH,ST亿利,20240718,19,600277
000961.SZ,ST中南,20240711,35,000961
600836.SH,*ST易连,20240711,19,600836
600220.SH,ST阳光,20240710,19,600220
002433.SZ,太安退,20240705,35,002433
900953.SH,凯马B,20240705,105,900953
600647.SH,退市同达,20240703,19,600647
600766.SH,退市园城,20240703,19,600766
603133.SH,退市碳元,20240703,19,603133
000996.SZ,中期退,20240628,35,000996
002087.SZ,新纺退,20240628,35,002087
600321.SH,正源股份,20240627,19,600321
600306.SH,退市商城,20240626,19,600306
600823.SH,*ST世茂,20240614,19,600823
000416.SZ,*ST民控,20240605,35,000416
002699.SZ,*ST美盛,20240605,35,002699
000005.SZ,ST星源,20240426,35,000005
603603.SH,退市博天,20240425,19,603603
002089.SZ,新海退,20240418,35,002089
603555.SH,ST贵人,20240329,19,603555
002002.SZ,ST鸿达,20240318,35,002002
002740.SZ,*ST爱迪,20240304,35,002740
000046.SZ,*ST泛海,20240207,35,000046
002776.SZ,*ST柏龙,20240125,35,002776
600290.SH,*ST华仪,20240116,19,600290
000666.SZ,经纬纺机,20231026,35,000666
000616.SZ,*ST海投,20230823,35,000616
002504.SZ,*ST弘高,20230821,35,002504
000671.SZ,ST阳光城,20230816,35,000671
002113.SZ,*ST天润,20230811,35,002113
002503.SZ,*ST搜特,20230811,35,002503
000732.SZ,ST泰禾,20230804,35,000732
002118.SZ,*ST紫鑫,20230804,35,002118
300297.SZ,蓝盾退,20230731,35,300297
000918.SZ,*ST嘉凯,20230728,35,000918
600077.SH,*ST宋都,20230725,19,600077
600393.SH,ST粤泰,20230718,19,600393
000667.SZ,ST美置,20230714,35,000667
002751.SZ,易尚退,20230713,35,002751
300089.SZ,文化退,20230713,35,300089
300356.SZ,光一退,20230713,35,300356
000038.SZ,大通退,20230712,35,000038
002411.SZ,必康退,20230712,35,002411
300526.SZ,中潜退,20230712,35,300526
002417.SZ,深南退,20230710,35,002417
200152.SZ,山航B退,20230710,105,200152
300392.SZ,腾信退,20230710,35,300392
688086.SH,退市紫晶,20230707,19,688086
688555.SH,退市泽达,20230707,19,688555
000606.SZ,顺利退,20230706,35,000606
000806.SZ,银河退,20230706,35,000806
300273.SZ,和佳退,20230706,35,300273
002781.SZ,奇信退,20230705,35,002781
300336.SZ,新文退,20230705,35,300336
000540.SZ,*ST中天,20230630,35,000540
601258.SH,*ST庞大,20230630,19,601258
600242.SH,退市中昌,20230629,19,600242
600767.SH,退市运盛,20230629,19,600767
600532.SH,退市未来,20230628,19,600532
600781.SH,退市辅仁,20230628,19,600781
600122.SH,*ST宏图,20230626,19,600122
000150.SZ,*ST宜康,20230609,35,000150
600466.SH,*ST蓝光,20230606,19,600466
300309.SZ,吉艾退,20230530,35,300309
300330.SZ,计通退,20230524,35,300330
002499.SZ,科林退,20230418,35,002499
000587.SZ,*ST金洲,20230403,35,000587
600139.SH,*ST西源,20230327,19,600139
600311.SH,*ST荣华,20230327,19,600311
002013.SZ,中航机电,20230317,35,002013
600260.SH,*ST凯乐,20230215,19,600260
600896.SH,退市海医,20220725,19,600896
600555.SH,退市海创,20220713,19,600555
900955.SH,退市海B,20220713,105,900955
600090.SH,退市济堂,20220707,19,600090
600385.SH,退市金泰,20220707,19,600385
000673.SZ,当代退,20220704,35,000673
300202.SZ,聚龙退,20220704,35,300202
300312.SZ,邦讯退,20220704,35,300312
300038.SZ,数知退,20220630,35,300038
300367.SZ,网力退,20220630,35,300367
600146.SH,退市环球,20220630,19,600146
600870.SH,退市厦华,20220630,19,600870
000613.SZ,东海A退,20220629,35,000613
200613.SZ,东海B退,20220629,105,200613
300023.SZ,宝德退,20220629,35,300023
000611.SZ,天首退,20220628,35,000611
002464.SZ,众应退,20220628,35,002464
300325.SZ,德威退,20220628,35,300325
000502.SZ,绿景退,20220627,35,000502
002447.SZ,晨鑫退,20220627,35,002447
002684.SZ,猛狮退,20220627,35,002684
300064.SZ,金刚退,20220627,35,300064
002147.SZ,新光退,20220623,35,002147
002770.SZ,科迪退,20220623,35,002770
600093.SH,退市易见,20220623,19,600093
002473.SZ,圣莱退,20220622,35,002473
002618.SZ,丹邦退,20220622,35,002618
300178.SZ,腾邦退,20220622,35,300178
600209.SH,退市罗顿,20220622,19,600209
600275.SH,退市昌鱼,20220622,19,600275
600856.SH,退市中天,20220622,19,600856
600091.SH,退市明科,20220621,19,600091
600652.SH,退市游久,20220621,19,600652
600890.SH,退市中房,20220621,19,600890
000687.SZ,华讯退,20220617,35,000687
002260.SZ,德奥退,20220617,35,002260
600291.SH,退市西水,20220614,19,600291
600695.SH,退市绿庭,20220614,19,600695
900919.SH,退市庭B,20220614,105,900919
000585.SZ,东电退,20220524,35,000585
603157.SH,退市拉夏,20220524,19,603157
603996.SH,退市中新,20220524,19,603996
000835.SZ,长动退,20220523,35,000835
002619.SZ,*ST艾格,20220428,35,002619
600145.SH,退市新亿,20220428,19,600145
900933.SH,华新B股,20220322,105,900933
000780.SZ,ST平能,20220124,35,000780
600723.SH,首商股份,20211022,19,600723
600068.SH,葛洲坝,20210913,19,600068
300362.SZ,天翔退,20210830,35,300362
000760.SZ,斯太退,20210723,35,000760
002359.SZ,北讯退,20210723,35,002359
200986.SZ,粤华包B,20210721,105,200986
600614.SH,退市鹏起,20210721,19,600614
600634.SH,退市富控,20210721,19,600634
900907.SH,退市鹏B,20210721,105,900907
002711.SZ,欧浦退,20210715,35,002711
600485.SH,*ST信威,20210601,19,600485
002450.SZ,康得退,20210531,35,002450
200168.SZ,*ST舜喆B,20210526,105,200168
600891.SH,退市秋林,20210512,19,600891
002071.SZ,长城退,20210507,35,002071
600701.SH,退市工新,20210430,19,600701
000662.SZ,天夏退,20210412,35,000662
600247.SH,*ST成城,20210322,19,600247
600978.SH,*ST宜生,20210322,19,600978
600677.SH,*ST航通,20210318,19,600677
600086.SH,退市金钰,20210317,19,600086
600687.SH,退市刚泰,20210303,19,600687
600317.SH,营口港,20210129,19,600317
000939.SZ,凯迪退,20201217,35,000939
900956.SH,东贝B股,20201123,105,900956
300431.SZ,暴风退,20201110,35,300431
300216.SZ,千山退,20200916,35,300216
600069.SH,退市银鸽,20200827,19,600069
900951.SH,退市大化,20200827,105,900951
300090.SZ,盛运退,20200825,35,300090
300156.SZ,神雾退,20200825,35,300156
600175.SH,退市美都,20200814,19,600175
002220.SZ,天宝退,20200811,35,002220
300028.SZ,金亚退,20200803,35,300028
200160.SZ,东沣B退,20200721,105,200160
300104.SZ,乐视退,20200721,35,300104
002509.SZ,天茂退,20200720,35,002509
002604.SZ,龙力退,20200715,35,002604
601558.SH,退市锐电,20200702,19,601558
600074.SH,退市保千,20200602,19,600074
600240.SH,退市华业,20200205,19,600240
000018.SZ,神城A退,20200107,35,000018
200018.SZ,神城B退,20200107,105,200018
600747.SH,退市大控,20191212,19,600747
002143.SZ,印纪退,20191129,35,002143
002680.SZ,长生退,20191127,35,002680
002018.SZ,华信退,20191101,35,002018
002477.SZ,雏鹰退,20191016,35,002477
600401.SH,退市海润,20190712,19,600401
000693.SZ,华泽退,20190709,35,000693
002070.SZ,众和退,20190709,35,002070
000418.SZ,小天鹅A,20190621,35,000418
200418.SZ,小天鹅B,20190527,105,200418
600680.SH,*ST上普,20190523,19,600680
900930.SH,*ST沪普B,20190523,105,900930
000979.SZ,中弘退,20181228,35,000979
600270.SH,外运发展,20181228,19,600270
000511.SZ,烯碳退,20180718,35,000511
600432.SH,退市吉恩,20180713,19,600432
600806.SH,退市昆机,20180713,19,600806
200053.SZ,深基地B,20180615,105,200053
000916.SZ,华北高速,20171225,35,000916
300372.SZ,欣泰退,20170828,35,300372
000033.SZ,新都退,20170707,35,000033
600005.SH,武钢股份,20170214,19,600005
000748.SZ,长城信息,20170118,35,000748
900935.SH,阳晨B股,20161216,105,900935
600656.SH,退市博元,20160513,19,600656
000024.SZ,招商地产,20151230,35,000024
200024.SZ,招商局B,20151211,105,200024
900950.SH,新城B股,20151123,105,900950
300186.SZ,大华农,20151102,35,300186
000594.SZ,国恒退,20150713,35,000594
200770.SZ,武锅B退,20150713,105,200770
601268.SH,*ST二重,20150521,19,601268
600832.SH,东方明珠,20150520,19,600832
601299.SH,中国北车,20150520,19,601299
000562.SZ,宏源证券,20150126,35,000562
200002.SZ,万科B,20140619,105,200002
600087.SH,退市长油,20140605,19,600087
200513.SZ,丽珠B,20140110,105,200513
900949.SH,东电B股,20131107,105,900949
000527.SZ,美的电器,20130918,35,000527
000602.SZ,金马集团,20130814,35,000602
600253.SH,天方药业,20130715,19,600253
000522.SZ,白云山A,20130426,35,000522
000805.SZ,*ST炎黄,20130327,35,000805
000787.SZ,*ST创智,20130208,35,000787
200039.SZ,中集B,20121214,105,200039
600991.SH,广汽长丰,20120320,19,600991
600263.SH,路桥建设,20120301,19,600263
600102.SH,莱钢股份,20120228,19,600102
600631.SH,百联股份,20110823,19,600631
000578.SZ,盐湖集团,20110322,35,000578
600553.SH,太行水泥,20110218,19,600553
600003.SH,ST东北高,20100226,19,600003
600607.SH,上实医药,20100212,19,600607
600842.SH,中西药业,20100212,19,600842
600591.SH,*ST上航,20100125,19,600591
600001.SH,邯郸钢铁,20091229,19,600001
600357.SH,承德钒钛,20091229,19,600357
200041.SZ,*ST本实B,20091204,105,200041
600840.SH,新湖创业,20090827,19,600840
000515.SZ,攀渝钛业,20090506,35,000515
000569.SZ,长城股份,20090506,35,000569
600627.SH,上电股份,20081126,19,600627
600786.SH,东方锅炉,20080318,19,600786
600472.SH,包头铝业,20071226,19,600472
600065.SH,*ST联谊,20071213,19,600065
600762.SH,S*ST金荔,20071120,19,600762
